,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
5039,"ESCUELA RURAL ""ALEJANDRO VASQUEZ BALDEVE",6.144444444444445,2002
2042,EL RAUCO,6.144444444444444,2002
4720,"ESCUELA PARTICULAR NÂº160 ""MILLAHUAIMO""",6.144444444444444,2002
5331,"ESCUELA RURAL ""FRONTERIZA""",6.144444444444444,2002
376,CAMILO ORTUZAR MONTT,6.1440735694822886,2002
8406,SAN JOSE DE FAJA RICCI,6.142857142857143,2002
7262,"LICEO POLIVALENTE"" MARIA MAZZARELLO""",6.1421874999999995,2002
1215,COLEGIO INTEGRADO SAN PÃO X (PONIENTE),6.142173112338858,2002
5293,"ESCUELA RURAL ""EL TREBOL""",6.141935483870968,2002
4173,ESCUELA G-141,6.140909090909091,2002
5406,"ESCUELA RURAL ""JULIO KOMPATZKI HORNICKEL",6.14,2002
3600,ESCUELA BASICA JOSE JOAQUIN VALLEJOS,6.14,2002
406,CARDAL,6.14,2002
5062,"ESCUELA RURAL ""ASTILLEROS""",6.14,2002
1900,DEL SAGRADO CORAZON-APOQUINDO,6.138095238095238,2002
1872,CUMBRES,6.138079710144927,2002
1424,COLEGIO PART. SAN ANDRES,6.138,2002
926,COLEGIO BALTAZAR,6.13764705882353,2002
1695,COLEGIO THE INTERNATIONAL SCHOOL,6.137549407114625,2002
8480,SANTA  CAROLINA,6.1375,2002
4565,"ESCUELA PART. NÂº99 ""ALONSO DE ERCILLA""",6.137362637362638,2002
754,COL. SAN ANTONIO DEL BALUARTE,6.136614853195164,2002
7464,LOS BOSQUINOS,6.136600891152133,2002
8033,PROFESOR GUILLERMO SALGADO CARRILLO,6.136363636363637,2002
127,AMERICAN BRITISH SCHOOL,6.136258278145696,2002
1062,COLEGIO DE LOS SAGRADOS CORAZONES,6.136049382716049,2002
3462,ESCUELA BASICA DIEGO PORTALES PALAZUELO,6.135918367346939,2002
6606,LA MONTANA,6.1350597609561754,2002
8329,SAINT'S GABRIEL SCHOOL,6.1350119904076745,2002
1320,COLEGIO MAESE DA VINCI,6.134020618556701,2002
8685,TERESIANO ENRIQUE DE OSSO,6.133710174717369,2002
6219,HUECHELEPUN,6.133333333333333,2002
1749,COLONIA MENDOZA,6.133333333333333,2002
3583,ESCUELA BASICA IRENE MORALES,6.133333333333333,2002
6556,KINGSTON COLLEGE,6.133257661748013,2002
830,"COLEGIO ""SANTA MARTA""",6.132424537487829,2002
4951,ESCUELA QUEBRADA DE NUEVO REINO,6.131578947368421,2002
1840,CORNETA CABRALES,6.131262939958592,2002
4393,ESCUELA LOS SAPOS,6.130769230769231,2002
1667,COLEGIO SAUCACHE,6.130521696733301,2002
8355,SAN CARLOS,6.130046948356807,2002
8750,TRONGOL ALTO,6.13,2002
7289,LICEO SALESIANO DOMINGO SAVIO,6.13,2002
